Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Establishment_Year,Outlet_Size,Outlet_Location_Type,Outlet_Type,ID,Item_Outlet_Sales
19.35,Regular,0.082197959,Baking Goods,49.2034,1987,High,Tier 3,Supermarket Type1,FDL48OUT013,729.051
18.35,Low Fat,0.015335349,Hard Drinks,106.6938,2002,,Tier 2,Supermarket Type1,DRL23OUT045,1393.5194
6.36,Low Fat,0.00599072,Household,163.6526,2002,,Tier 2,Supermarket Type1,NCX42OUT045,5262.4832
9.8,Low Fat,0.013898123,Soft Drinks,46.506,2009,Medium,Tier 3,Supermarket Type2,DRD37OUT018,372.848
,Regular,0.078912473,Baking Goods,99.9042,1985,Medium,Tier 3,Supermarket Type3,FDZ47OUT027,3273.7386
,Low Fat,0.059776237,Household,231.7642,1985,Medium,Tier 3,Supermarket Type3,NCJ54OUT027,5344.3766
6.635,Regular,0,Frozen Foods,39.7506,1987,High,Tier 3,Supermarket Type1,FDL52OUT013,303.6048
18.1,Low Fat,0.297883712,Dairy,156.7288,1998,,Tier 3,Grocery Store,FDC15OUT010,314.2576
8.93,Low Fat,0.022059594,Household,56.0614,1998,,Tier 3,Grocery Store,NCD19OUT010,276.307
8.3,Low Fat,0.03532494,Fruits and Vegetables,38.9506,1987,High,Tier 3,Supermarket Type1,FDD08OUT013,721.0614
8.895,LF,0.124967595,Household,112.7544,2002,,Tier 2,Supermarket Type1,NCN18OUT045,3467.4864
16.35,Regular,0.062411404,Fruits and Vegetables,225.9062,1997,Small,Tier 1,Supermarket Type1,FDY56OUT046,5416.9488
8.6,Low Fat,0.032754431,Health and Hygiene,140.5154,2009,Medium,Tier 3,Supermarket Type2,NCI29OUT018,283.6308
,Low Fat,0.160178832,Household,160.2894,1985,Small,Tier 1,Grocery Store,NCE06OUT019,323.5788
19,Regular,0.104035148,Fruits and Vegetables,227.772,2007,,Tier 2,Supermarket Type1,FDC08OUT017,5206.556
7.56,Low Fat,0.06390019,Frozen Foods,157.263,2002,,Tier 2,Supermarket Type1,FDU52OUT045,2503.408
12.6,Regular,0.062648111,Frozen Foods,104.899,1987,High,Tier 3,Supermarket Type1,FDN16OUT013,1960.781
15.6,Low Fat,0.111685868,Others,184.7924,1998,,Tier 3,Grocery Store,NCM55OUT010,370.1848
8.71,Low Fat,0.233039817,Canned,49.5376,1998,,Tier 3,Grocery Store,FDR49OUT010,95.8752
18.1,Low Fat,0.17824575,Dairy,158.1288,1999,Medium,Tier 1,Supermarket Type1,FDC15OUT049,3299.7048
13.35,Low Fat,0.140241213,Frozen Foods,150.2392,2007,,Tier 2,Supermarket Type1,FDB53OUT017,2684.5056
16.6,Low Fat,0,Fruits and Vegetables,173.3738,1997,Small,Tier 1,Supermarket Type1,FDK44OUT046,2085.2856
6.695,Low Fat,0.033935576,Frozen Foods,221.9456,2004,Small,Tier 2,Supermarket Type1,FDA16OUT035,2210.456
,Regular,0.016516275,Fruits and Vegetables,47.4034,1985,Medium,Tier 3,Supermarket Type3,FDO19OUT027,2187.153
16.6,Low Fat,0.026537206,Frozen Foods,57.2614,1997,Small,Tier 1,Supermarket Type1,FDO04OUT046,1049.9666
15.35,Low Fat,0.015673267,Others,145.047,2004,Small,Tier 2,Supermarket Type1,NCL19OUT035,2719.793
19.7,Low Fat,0.089083914,Fruits and Vegetables,54.593,1998,,Tier 3,Grocery Store,FDA44OUT010,56.593
14.3,Low Fat,0.131152799,Baking Goods,78.6328,2007,,Tier 2,Supermarket Type1,FDR60OUT017,231.6984
,Regular,0.083109455,Canned,195.8426,1985,Medium,Tier 3,Supermarket Type3,FDV37OUT027,5734.5354
10,Low Fat,0.045818773,Frozen Foods,138.718,1987,High,Tier 3,Supermarket Type1,FDG53OUT013,1398.18
14.8,Low Fat,0.044869794,Soft Drinks,76.467,2004,Small,Tier 2,Supermarket Type1,DRG01OUT035,1531.34
,Regular,0,Canned,160.692,1985,Small,Tier 1,Grocery Store,FDB38OUT019,319.584
8.71,Regular,0.04605781,Dairy,43.8744,1999,Medium,Tier 1,Supermarket Type1,FDI27OUT049,633.8416
12.15,Low Fat,0.030815427,Frozen Foods,252.0698,1998,,Tier 3,Grocery Store,FDD29OUT010,1014.6792
17.85,Low Fat,0.01806055,Health and Hygiene,97.0094,2002,,Tier 2,Supermarket Type1,NCR41OUT045,2094.6068
9.5,Regular,0.035205866,Fruits and Vegetables,171.3448,1999,Medium,Tier 1,Supermarket Type1,FDW44OUT049,2386.2272
11.8,Regular,0.076705948,Snack Foods,34.7558,2004,Small,Tier 2,Supermarket Type1,FDU21OUT035,780.9834
14.1,LF,0.089677773,Canned,139.8496,1997,Small,Tier 1,Supermarket Type1,FDI14OUT046,1693.7952
,Low Fat,0.132327406,Dairy,168.4158,1985,Small,Tier 1,Grocery Store,FDW50OUT019,334.2316
19.35,Regular,0.065520388,Meat,168.3816,1997,Small,Tier 1,Supermarket Type1,FDN39OUT046,1342.2528
19.75,Low Fat,0.012518707,Fruits and Vegetables,190.6872,2007,,Tier 2,Supermarket Type1,FDT31OUT017,4916.2672
10.3,Regular,0.050353695,Canned,78.696,2007,,Tier 2,Supermarket Type1,FDJ14OUT017,1757.712
,Low Fat,0.110762642,Others,108.5912,1985,Medium,Tier 3,Supermarket Type3,NCQ43OUT027,1637.868
,Low Fat,0.045050674,Snack Foods,84.925,1985,Medium,Tier 3,Supermarket Type3,FDZ22OUT027,1747.725
10.8,Low Fat,0.083016832,Dairy,193.4504,2007,,Tier 2,Supermarket Type1,FDU38OUT017,2876.256
17.75,Regular,0,Fruits and Vegetables,139.9838,2002,,Tier 2,Supermarket Type1,FDS32OUT045,1966.7732
8.575,Low Fat,0.023983258,Soft Drinks,106.328,2009,Medium,Tier 3,Supermarket Type2,DRH13OUT018,958.752
19.1,Low Fat,0.075836522,Dairy,40.2138,1998,,Tier 3,Grocery Store,DRF03OUT010,81.2276
20.7,Regular,0.100330684,Fruits and Vegetables,123.4388,1999,Medium,Tier 1,Supermarket Type1,FDJ20OUT049,1238.388
,Low Fat,0.051778173,Snack Foods,157.892,1985,Small,Tier 1,Grocery Store,FDE22OUT019,319.584
6.785,Regular,0.022970468,Snack Foods,211.0928,2004,Small,Tier 2,Supermarket Type1,FDX22OUT035,4418.2488
6.57,Low Fat,0.066014596,Hard Drinks,259.7278,1987,High,Tier 3,Supermarket Type1,DRM11OUT013,2863.6058
5.78,Regular,0.07429945,Snack Foods,264.9568,2002,,Tier 2,Supermarket Type1,FDL58OUT045,1845.5976
6.92,Regular,0.131128467,Breakfast,93.1804,1999,Medium,Tier 1,Supermarket Type1,FDL25OUT049,1561.9668
20.25,Regular,0.014816356,Dairy,194.1162,1999,Medium,Tier 1,Supermarket Type1,FDD40OUT049,3848.324
13.65,Low Fat,0.049318315,Fruits and Vegetables,149.005,2002,,Tier 2,Supermarket Type1,FDT08OUT045,2097.27
13.5,Regular,0.017960492,Snack Foods,81.596,2007,,Tier 2,Supermarket Type1,FDO22OUT017,639.168
16.5,Low Fat,0.035801238,Health and Hygiene,92.612,2009,Medium,Tier 3,Supermarket Type2,NCM41OUT018,559.272
16.7,Regular,0.038606365,Snack Foods,146.5102,2002,,Tier 2,Supermarket Type1,FDJ21OUT045,2770.3938
8.68,Low Fat,0.008871687,Frozen Foods,99.7384,2009,Medium,Tier 3,Supermarket Type2,FDC53OUT018,295.6152
,Low Fat,0.125793938,Hard Drinks,36.2506,1985,Small,Tier 1,Grocery Store,DRK35OUT019,37.9506
7.235,Low Fat,0.058369013,Snack Foods,115.2834,2009,Medium,Tier 3,Supermarket Type2,FDQ09OUT018,1267.0174
16.75,Regular,0,Soft Drinks,39.3822,1997,Small,Tier 1,Supermarket Type1,DRB48OUT046,353.5398
15.35,Low Fat,0.073269336,Soft Drinks,92.112,2004,Small,Tier 2,Supermarket Type1,DRE25OUT035,1118.544
10.8,Low Fat,0.049677651,Fruits and Vegetables,245.9144,1987,High,Tier 3,Supermarket Type1,FDL08OUT013,4655.2736
6.26,Low Fat,0.031470832,Household,110.2228,1999,Medium,Tier 1,Supermarket Type1,NCV42OUT049,1547.3192
5.63,Regular,0.024579432,Meat,105.3306,1999,Medium,Tier 1,Supermarket Type1,FDW03OUT049,1045.306
6.92,Regular,0.131665479,Breakfast,91.8804,2007,,Tier 2,Supermarket Type1,FDL25OUT017,275.6412
12.15,Low Fat,0.015523707,Frozen Foods,212.0928,2009,Medium,Tier 3,Supermarket Type2,FDC17OUT018,2735.1064
16.6,Low Fat,0.122475364,Fruits and Vegetables,175.5738,2002,,Tier 2,Supermarket Type1,FDK44OUT045,347.5476
9.195,Low Fat,0.107891398,Snack Foods,182.7634,1997,Small,Tier 1,Supermarket Type1,FDE34OUT046,3817.0314
19,Low Fat,0.128065918,Snack Foods,104.3622,2004,Small,Tier 2,Supermarket Type1,FDP10OUT035,1905.5196
9.395,Low Fat,0.045361705,Snack Foods,83.825,2002,,Tier 2,Supermarket Type1,FDZ22OUT045,665.8
9.8,Low Fat,0.090390357,Others,192.1478,1987,High,Tier 3,Supermarket Type1,NCK19OUT013,2324.9736
,Low Fat,0.087029712,Fruits and Vegetables,109.2228,1985,Medium,Tier 3,Supermarket Type3,FDO44OUT027,3205.1612
18.85,LF,0.052054819,Health and Hygiene,189.1846,1997,Small,Tier 1,Supermarket Type1,NCU41OUT046,2101.9306
9.13,Low Fat,0.051952573,Household,152.3024,2002,,Tier 2,Supermarket Type1,NCF31OUT045,1821.6288
9,Regular,0.050786366,Canned,152.2024,2007,,Tier 2,Supermarket Type1,FDG14OUT017,3643.2576
17.1,Low Fat,0.067141355,Household,114.586,2004,Small,Tier 2,Supermarket Type1,NCH30OUT035,2942.836
6.715,Regular,0.121485195,Baking Goods,40.2454,1987,High,Tier 3,Supermarket Type1,FDR36OUT013,587.2356
5.82,Low Fat,0.080640478,Household,167.779,1997,Small,Tier 1,Supermarket Type1,NCJ30OUT046,2886.243
18.7,Low Fat,0.037699254,Fruits and Vegetables,110.2886,2002,,Tier 2,Supermarket Type1,FDR08OUT045,2223.772
7.93,Low Fat,0,Frozen Foods,123.2414,2009,Medium,Tier 3,Supermarket Type2,FDU04OUT018,487.3656
18.75,Low Fat,0.034501405,Household,211.7218,2007,,Tier 2,Supermarket Type1,NCQ50OUT017,5770.4886
,Low Fat,0.053795154,Snack Foods,117.7466,1985,Medium,Tier 3,Supermarket Type3,FDL46OUT027,1414.1592
5,Low Fat,0.044004675,Soft Drinks,188.853,1997,Small,Tier 1,Supermarket Type1,DRK37OUT046,5502.837
7.445,low fat,0,Baking Goods,76.8354,1997,Small,Tier 1,Supermarket Type1,FDK48OUT046,2181.8266
20.85,Low Fat,0.121250374,Snack Foods,193.9452,1997,Small,Tier 1,Supermarket Type1,FDV58OUT046,1565.9616
20.85,Low Fat,0,Meat,115.1808,2009,Medium,Tier 3,Supermarket Type2,FDN27OUT018,1054.6272
19.2,Low Fat,0.100230114,Frozen Foods,112.9886,1999,Medium,Tier 1,Supermarket Type1,FDZ52OUT049,1667.829
17.35,Low Fat,0.167383061,Household,175.6712,1997,Small,Tier 1,Supermarket Type1,NCF42OUT046,2812.3392
14.3,Regular,0.034404732,Baking Goods,98.1726,2004,Small,Tier 2,Supermarket Type1,FDQ48OUT035,489.363
19.5,Low Fat,0.082719632,Canned,179.3002,2002,,Tier 2,Supermarket Type1,FDW49OUT045,2865.6032
6.675,Low Fat,0.041913535,Snack Foods,90.7462,2004,Small,Tier 2,Supermarket Type1,FDR58OUT035,1665.8316
8.18,Low Fat,0.0132043,Household,143.8154,2007,,Tier 2,Supermarket Type1,NCE07OUT017,2694.4926
6.98,Low Fat,0.041105789,Canned,83.4934,1997,Small,Tier 1,Supermarket Type1,FDK14OUT046,1555.9746
,LF,0.141106202,Starchy Foods,87.9172,1985,Medium,Tier 3,Supermarket Type3,FDC11OUT027,3836.3396
16.85,Low Fat,0.036463975,Snack Foods,90.7488,2002,,Tier 2,Supermarket Type1,FDL22OUT045,543.2928
14.8,Low Fat,0.01946418,Health and Hygiene,196.3794,1987,High,Tier 3,Supermarket Type1,NCQ41OUT013,1950.794
12.3,Regular,0,Snack Foods,57.3562,1987,High,Tier 3,Supermarket Type1,FDX46OUT013,177.7686
7.435,Low Fat,0.123086812,Starchy Foods,206.9638,2002,,Tier 2,Supermarket Type1,FDC35OUT045,1035.319
15.1,reg,0.105646853,Fruits and Vegetables,42.8796,2004,Small,Tier 2,Supermarket Type1,FDH45OUT035,949.4308
9.195,Regular,0.118149377,Snack Foods,160.5578,2007,,Tier 2,Supermarket Type1,FDX33OUT017,1283.6624
10.1,Low Fat,0.046545786,Hard Drinks,59.9878,1987,High,Tier 3,Supermarket Type1,DRJ35OUT013,484.7024
16,Regular,0.065009745,Dairy,79.5986,1987,High,Tier 3,Supermarket Type1,FDC40OUT013,934.7832
17.7,Regular,0.016630303,Fruits and Vegetables,48.1034,2002,,Tier 2,Supermarket Type1,FDO19OUT045,534.6374
8.1,Regular,0.134532392,Canned,39.448,1999,Medium,Tier 1,Supermarket Type1,FDP13OUT049,878.856
20.6,LF,0.083133128,Baking Goods,120.1756,1999,Medium,Tier 1,Supermarket Type1,FDP24OUT049,1332.9316
20.35,Low Fat,0.039428167,Household,127.9678,2009,Medium,Tier 3,Supermarket Type2,NCQ42OUT018,3560.6984
8.195,Low Fat,0,Baking Goods,93.1462,2009,Medium,Tier 3,Supermarket Type2,FDY59OUT018,647.8234
17.75,Low Fat,0.034823127,Dairy,248.675,2002,,Tier 2,Supermarket Type1,FDU14OUT045,4993.5
7.475,Low Fat,0.148492521,Fruits and Vegetables,240.6854,2004,Small,Tier 2,Supermarket Type1,FDB21OUT035,1691.7978
19,Regular,0.065901299,Fruits and Vegetables,188.7214,2009,Medium,Tier 3,Supermarket Type2,FDT32OUT018,1695.7926
12.6,Regular,0.041622264,Fruits and Vegetables,124.0072,1999,Medium,Tier 1,Supermarket Type1,FDK20OUT049,4042.7376
,Low Fat,0.064933297,Snack Foods,174.837,1985,Medium,Tier 3,Supermarket Type3,FDX09OUT027,4763.799
7.895,Regular,0.0945493,Breakfast,102.6332,2004,Small,Tier 2,Supermarket Type1,FDM01OUT035,1640.5312
,Low Fat,0.107076832,Soft Drinks,58.7904,1985,Medium,Tier 3,Supermarket Type3,DRI37OUT027,1288.9888
17.1,Low Fat,0.128674983,Fruits and Vegetables,112.3886,2002,,Tier 2,Supermarket Type1,FDL20OUT045,2334.9606
8.355,Low Fat,0.188322664,Canned,148.5418,2009,Medium,Tier 3,Supermarket Type2,FDU13OUT018,2207.127
,Regular,0,Frozen Foods,145.2102,1985,Small,Tier 1,Grocery Store,FDE05OUT019,437.4306
18.5,Low Fat,0.052025392,Snack Foods,118.4124,1987,High,Tier 3,Supermarket Type1,FDE58OUT013,2370.248
,Regular,0.065316099,Fruits and Vegetables,189.9214,1985,Medium,Tier 3,Supermarket Type3,FDT32OUT027,5087.3778
8.975,Regular,0.01516265,Canned,101.899,1998,,Tier 3,Grocery Store,FDZ01OUT010,103.199
10.1,Regular,0.053584207,Fruits and Vegetables,224.4088,1997,Small,Tier 1,Supermarket Type1,FDM08OUT046,4697.8848
9.285,Regular,0.020989132,Snack Foods,158.6578,1987,High,Tier 3,Supermarket Type1,FDS58OUT013,2406.867
11.6,Regular,0.144017405,Dairy,238.3222,1997,Small,Tier 1,Supermarket Type1,FDZ26OUT046,5736.5328
,Low Fat,0.115978122,Snack Foods,183.4266,1985,Medium,Tier 3,Supermarket Type3,FDC46OUT027,7192.6374
12.5,Low Fat,0.081465335,Meat,220.7798,2009,Medium,Tier 3,Supermarket Type2,FDY51OUT018,6611.394
16,Low Fat,0.041177505,Snack Foods,142.3496,2007,,Tier 2,Supermarket Type1,FDL34OUT017,3246.4408
14.15,Low Fat,0.042352822,Dairy,51.6982,2009,Medium,Tier 3,Supermarket Type2,DRG39OUT018,1262.3568
20.2,Low Fat,0.074541867,Household,94.1462,2009,Medium,Tier 3,Supermarket Type2,NCG43OUT018,1758.3778
13.65,Regular,0.18454121,Canned,211.5902,2002,,Tier 2,Supermarket Type1,FDT01OUT045,4672.5844
17.25,Low Fat,0.114160573,Household,253.1724,2007,,Tier 2,Supermarket Type1,NCR38OUT017,3775.086
5.655,Low Fat,0.175352413,Soft Drinks,147.4102,1999,Medium,Tier 1,Supermarket Type1,DRF01OUT049,2478.7734
20.75,Regular,0.083590755,Frozen Foods,182.2318,2004,Small,Tier 2,Supermarket Type1,FDF53OUT035,3067.3406
5.175,Regular,0.029471408,Snack Foods,105.4622,1987,High,Tier 3,Supermarket Type1,FDS45OUT013,3281.7282
20,Regular,0.028282832,Fruits and Vegetables,46.2744,2007,,Tier 2,Supermarket Type1,FDR20OUT017,1086.5856
11.8,Low Fat,0,Fruits and Vegetables,46.5402,1998,,Tier 3,Grocery Store,FDY07OUT010,229.701
16.75,Regular,0.008208342,Canned,102.8674,2002,,Tier 2,Supermarket Type1,FDD38OUT045,1528.011
18.35,Low Fat,0.03334929,Dairy,155.034,2009,Medium,Tier 3,Supermarket Type2,DRF15OUT018,1990.742
12.8,Low Fat,0.076060037,Fruits and Vegetables,95.141,1997,Small,Tier 1,Supermarket Type1,FDH32OUT046,868.869
19.75,Low Fat,0.014301326,Household,103.0332,1997,Small,Tier 1,Supermarket Type1,NCJ42OUT046,1230.3984
8.75,Regular,0.074931201,Fruits and Vegetables,187.6556,2009,Medium,Tier 3,Supermarket Type2,FDB56OUT018,938.778
13.3,Low Fat,0.080131363,Dairy,234.03,2009,Medium,Tier 3,Supermarket Type2,FDD03OUT018,4194.54
18.85,Low Fat,0.167444431,Household,194.6136,1987,High,Tier 3,Supermarket Type1,NCL18OUT013,1166.4816
9.695,Regular,0.03033748,Snack Foods,222.9114,1999,Medium,Tier 1,Supermarket Type1,FDW22OUT049,5764.4964
20.7,Low Fat,0.04874969,Fruits and Vegetables,37.5506,2004,Small,Tier 2,Supermarket Type1,FDE32OUT035,113.8518
,Low Fat,0.014788594,Starchy Foods,174.408,1985,Medium,Tier 3,Supermarket Type3,FDA34OUT027,7443.644
11.1,Low Fat,0.111298111,Fruits and Vegetables,191.7846,2007,,Tier 2,Supermarket Type1,FDJ08OUT017,3057.3536
8.975,Regular,0.05268526,Canned,83.3224,1987,High,Tier 3,Supermarket Type1,FDG38OUT013,3579.3408
12.15,Low Fat,0.018485511,Frozen Foods,253.1698,2009,Medium,Tier 3,Supermarket Type2,FDD29OUT018,1522.0188
7.67,Low Fat,0.184689756,Household,35.4216,1987,High,Tier 3,Supermarket Type1,NCE31OUT013,450.0808
13.8,Regular,0.064153845,Fruits and Vegetables,76.9012,1987,High,Tier 3,Supermarket Type1,FDS19OUT013,607.2096
4.785,Low Fat,0.092516598,Breads,120.1098,1987,High,Tier 3,Supermarket Type1,FDU11OUT013,1325.6078
20,Regular,0.104245198,Canned,105.3622,1999,Medium,Tier 1,Supermarket Type1,FDL02OUT049,1270.3464
,Regular,0.041779181,Meat,43.4112,1985,Medium,Tier 3,Supermarket Type3,FDO51OUT027,1107.8912
8.395,Low Fat,0.07226985,Hard Drinks,254.104,2009,Medium,Tier 3,Supermarket Type2,DRK23OUT018,3542.056
6.175,Regular,0.179806961,Meat,95.2752,2009,Medium,Tier 3,Supermarket Type2,FDO27OUT018,1534.0032
8.21,Low Fat,0.044995631,Dairy,89.2198,1999,Medium,Tier 1,Supermarket Type1,FDB16OUT049,1308.297
19.7,Low Fat,0.053523765,Fruits and Vegetables,55.393,2007,,Tier 2,Supermarket Type1,FDA44OUT017,1471.418
19.6,Low Fat,0.041459372,Household,89.6514,2009,Medium,Tier 3,Supermarket Type2,NCB18OUT018,1239.7196
7.5,Low Fat,0.036234918,Health and Hygiene,175.3028,1997,Small,Tier 1,Supermarket Type1,NCL53OUT046,3896.2616
5.845,Regular,0.105445801,Frozen Foods,214.4218,2009,Medium,Tier 3,Supermarket Type2,FDR16OUT018,1496.0526
11.395,LF,0,Health and Hygiene,151.6708,1987,High,Tier 3,Supermarket Type1,NCQ05OUT013,3460.8284
7.17,Regular,0.05997133,Fruits and Vegetables,132.1968,2009,Medium,Tier 3,Supermarket Type2,FDF44OUT018,2870.9296
5.75,Regular,0.075595405,Dairy,114.7176,2007,,Tier 2,Supermarket Type1,FDU50OUT017,1259.6936
15.5,Regular,0.210375806,Fruits and Vegetables,178.2028,1998,,Tier 3,Grocery Store,FDG20OUT010,177.1028
7.76,Low Fat,0.059341019,Snack Foods,99.77,2004,Small,Tier 2,Supermarket Type1,FDD58OUT035,798.96
13.65,Regular,0.18520944,Canned,212.9902,2007,,Tier 2,Supermarket Type1,FDT01OUT017,3185.853
10.8,Low Fat,0.098566832,Meat,98.3042,1999,Medium,Tier 1,Supermarket Type1,FDK15OUT049,1488.063
11.1,Low Fat,0.11084417,Fruits and Vegetables,189.2846,1999,Medium,Tier 1,Supermarket Type1,FDJ08OUT049,5159.2842
,Low Fat,0.0350152,Snack Foods,182.0318,1985,Medium,Tier 3,Supermarket Type3,FDS10OUT027,5954.2494
12.8,Regular,0.023567538,Meat,226.8404,1999,Medium,Tier 1,Supermarket Type1,FDJ55OUT049,4500.808
8.785,Low Fat,0,Fruits and Vegetables,123.0414,1998,,Tier 3,Grocery Store,FDU32OUT010,121.8414
20.6,Regular,0.04792722,Fruits and Vegetables,185.9556,2004,Small,Tier 2,Supermarket Type1,FDG09OUT035,4318.3788
7.89,Low Fat,0.036207786,Dairy,121.0782,2002,,Tier 2,Supermarket Type1,FDE39OUT045,3456.1678
16.85,Low Fat,0.044377096,Fruits and Vegetables,185.8266,1987,High,Tier 3,Supermarket Type1,FDU56OUT013,1659.8394
16.35,Low Fat,0.034742632,Household,127.402,2002,,Tier 2,Supermarket Type1,NCH55OUT045,759.012
,Regular,0.116915909,Snack Foods,159.4578,1985,Medium,Tier 3,Supermarket Type3,FDX33OUT027,4974.1918
17.35,Regular,0.062979148,Baking Goods,87.983,2002,,Tier 2,Supermarket Type1,FDR24OUT045,1707.777
,Regular,0.068604503,Fruits and Vegetables,197.3768,1985,Medium,Tier 3,Supermarket Type3,FDC33OUT027,7488.9184
,Low Fat,0.03294861,Household,116.8124,1985,Medium,Tier 3,Supermarket Type3,NCV54OUT027,2488.7604
12.6,Low Fat,0.007450258,Household,186.7556,1987,High,Tier 3,Supermarket Type1,NCQ02OUT013,2816.334
5.32,Low Fat,0.093027718,Health and Hygiene,101.4674,1999,Medium,Tier 1,Supermarket Type1,NCU17OUT049,2954.1546
,Low Fat,0.164864915,Household,255.2698,1985,Small,Tier 1,Grocery Store,NCZ06OUT019,761.0094
13,Regular,0.083498083,Canned,199.4426,2004,Small,Tier 2,Supermarket Type1,FDV37OUT035,593.2278
,Low Fat,0.014522363,Soft Drinks,50.2324,1985,Medium,Tier 3,Supermarket Type3,DRH25OUT027,1298.31
19.85,Low Fat,0.025963795,Household,46.3376,2004,Small,Tier 2,Supermarket Type1,NCI43OUT035,1150.5024
17.6,Low Fat,0.019012262,Health and Hygiene,237.159,2007,,Tier 2,Supermarket Type1,NCQ53OUT017,3072.667
14.6,Low Fat,0.059393919,Household,181.7976,2004,Small,Tier 2,Supermarket Type1,NCT18OUT035,3259.7568
7.55,Low Fat,0.027212058,Canned,152.734,1999,Medium,Tier 1,Supermarket Type1,FDF14OUT049,2756.412
13.8,Low Fat,0.013263968,Canned,106.9254,1997,Small,Tier 1,Supermarket Type1,FDM14OUT046,2930.1858
17.25,Regular,0.079113947,Snack Foods,99.2068,1998,,Tier 3,Grocery Store,FDX57OUT010,97.2068
10.1,Low Fat,0.03020851,Health and Hygiene,153.1656,1997,Small,Tier 1,Supermarket Type1,NCV05OUT046,1544.656
14.3,Regular,0.049634817,Meat,212.5586,1987,High,Tier 3,Supermarket Type1,FDX39OUT013,3165.879
9.8,Low Fat,0.047187038,Baking Goods,100.6016,1997,Small,Tier 1,Supermarket Type1,FDA23OUT046,1619.2256
11.3,Low Fat,0.066681333,Household,194.4478,1997,Small,Tier 1,Supermarket Type1,NCV06OUT046,387.4956
7.67,Low Fat,0.185218446,Household,36.3216,2002,,Tier 2,Supermarket Type1,NCE31OUT045,415.4592
13.8,Low Fat,0.162462044,Dairy,55.893,1998,,Tier 3,Grocery Store,DRI39OUT010,226.372
10.395,Low Fat,0.031273559,Seafood,160.0604,1999,Medium,Tier 1,Supermarket Type1,FDH21OUT049,1267.6832
20.7,Low Fat,0.042836778,Dairy,175.8028,1997,Small,Tier 1,Supermarket Type1,FDR26OUT046,1593.9252
,Low Fat,0.114127418,Dairy,147.176,1985,Small,Tier 1,Grocery Store,FDA14OUT019,585.904
17.35,Regular,0.146895866,Seafood,149.605,2009,Medium,Tier 3,Supermarket Type2,FDG21OUT018,3745.125
16.35,Low Fat,0.013420879,Others,104.828,2009,Medium,Tier 3,Supermarket Type2,NCQ38OUT018,1810.976
19.35,Low Fat,0.026181893,Fruits and Vegetables,167.0474,1997,Small,Tier 1,Supermarket Type1,FDN20OUT046,2358.2636
15.2,Low Fat,0.012184999,Health and Hygiene,50.3034,2007,,Tier 2,Supermarket Type1,NCN29OUT017,145.8102
14.3,Low Fat,0.026428924,Frozen Foods,78.2302,2009,Medium,Tier 3,Supermarket Type2,FDI28OUT018,554.6114
,Regular,0.045243613,Dairy,146.8102,1985,Medium,Tier 3,Supermarket Type3,FDA03OUT027,3499.4448
20,Regular,0,Frozen Foods,127.3678,1997,Small,Tier 1,Supermarket Type1,FDZ28OUT046,1780.3492
,Regular,0.076790922,Frozen Foods,172.1106,1985,Medium,Tier 3,Supermarket Type3,FDO52OUT027,2566.659
10.1,Regular,0.045950475,Snack Foods,38.2848,2007,,Tier 2,Supermarket Type1,FDU10OUT017,1230.3984
,Regular,0.133673087,Canned,41.548,1985,Medium,Tier 3,Supermarket Type3,FDP13OUT027,918.804
,Low Fat,0.060252433,Dairy,170.7106,1985,Medium,Tier 3,Supermarket Type3,FDV02OUT027,3079.9908
8.18,reg,0.082529704,Frozen Foods,56.9588,1999,Medium,Tier 1,Supermarket Type1,FDS28OUT049,744.3644
19.5,Low Fat,0.082552214,Canned,179.8002,1997,Small,Tier 1,Supermarket Type1,FDW49OUT046,716.4008
18.7,Low Fat,0.089272253,Snack Foods,254.7672,1997,Small,Tier 1,Supermarket Type1,FDP33OUT046,5113.344
12.35,Regular,0.072541731,Dairy,48.5692,2002,,Tier 2,Supermarket Type1,FDJ03OUT045,886.8456
16,Regular,0.017536671,Meat,45.5718,1987,High,Tier 3,Supermarket Type1,FDQ51OUT013,1039.9796
8.395,Low Fat,0.072088552,Hard Drinks,253.704,1999,Medium,Tier 1,Supermarket Type1,DRK23OUT049,4554.072
4.785,Low Fat,0.092781435,Breads,119.7098,2002,,Tier 2,Supermarket Type1,FDU11OUT045,1807.647
5.03,Low Fat,0.008644894,Household,122.6756,2004,Small,Tier 2,Supermarket Type1,NCK06OUT035,2665.8632
15.6,Low Fat,0.025342692,Snack Foods,174.3054,2007,,Tier 2,Supermarket Type1,FDY09OUT017,1751.054
7.285,Low Fat,0.031145743,Household,173.6054,2004,Small,Tier 2,Supermarket Type1,NCY18OUT035,2626.581
20.35,Low Fat,0,Snack Foods,120.9072,1999,Medium,Tier 1,Supermarket Type1,FDA10OUT049,1470.0864
17.7,Low Fat,0.030108283,Snack Foods,165.9816,2007,,Tier 2,Supermarket Type1,FDO34OUT017,4362.3216
,Low Fat,0.044391149,Canned,164.3842,1985,Medium,Tier 3,Supermarket Type3,FDE38OUT027,4476.1734
20.25,Regular,0.022639471,Dairy,248.4092,2007,,Tier 2,Supermarket Type1,FDF40OUT017,2241.0828
8.945,Regular,0,Dairy,264.791,2007,,Tier 2,Supermarket Type1,FDY02OUT017,4733.838
